index;Date;Tile
972;20230212;48PUV
974;20230202;48PUV
978;20230717;48PUV
980;20230707;48PUV
982;20231030;48PUV
984;20231020;48PUV
988;20231005;48PUV
990;20230423;48PUV
992;20230413;48PUV
994;20230403;48PUV
996;20231124;48PUV
998;20231109;48PUV
1000;20230329;48PUV
1002;20230319;48PUV
1006;20230528;48PUV
1008;20230518;48PUV
1010;20230508;48PUV
1012;20230826;48PUV
1014;20230816;48PUV
1016;20230806;48PUV
1018;20230925;48PUV
1020;20230915;48PUV
1022;20230905;48PUV
1024;20230123;48PUV
1026;20230113;48PUV
1028;20230103;48PUV
1030;20230530;48PWV
1032;20230520;48PWV
1034;20230510;48PWV
1036;20230326;48PWV
1038;20230316;48PWV
1040;20230306;48PWV
1041;20230301;48PWV
1042;20230130;48PWV
1043;20230125;48PWV
1044;20230120;48PWV
1045;20230115;48PWV
1046;20230115;48PWV
1047;20230110;48PWV
1048;20230105;48PWV
1049;20231126;48PWV
1051;20231106;48PWV
1053;20230425;48PWV
1055;20230415;48PWV
1057;20230405;48PWV
1059;20230724;48PWV
1061;20230714;48PWV
1063;20230704;48PWV
1064;20230224;48PWV
1065;20230219;48PWV
1066;20230214;48PWV
1067;20230209;48PWV
1068;20230204;48PWV
1070;20230922;48PWV
1072;20230912;48PWV
1074;20230902;48PWV
1076;20231022;48PWV
1078;20231012;48PWV
1080;20231002;48PWV
1081;20231211;48PWV
1083;20230629;48PWV
1085;20230619;48PWV
1087;20230609;48PWV
1089;20230828;48PWV
1093;20230813;48PWV
1095;20230803;48PWV
1097;20230326;48PXT
1099;20230321;48PXT
1101;20230316;48PXT
1103;20230311;48PXT
1109;20230626;48PXT
1111;20230621;48PXT
1113;20230616;48PXT
1115;20230611;48PXT
1117;20230606;48PXT
1119;20230601;48PXT
1121;20231126;48PXT
1125;20231118;48PXT
1127;20231108;48PXT
1131;20231101;48PXT
1132;20231216;48PXT
1133;20231213;48PXT
1134;20231211;48PXT
1136;20231201;48PXT
1137;20230130;48PXT
1138;20230127;48PXT
1139;20230125;48PXT
